feature,importance_gain,lgbm_rank,mutual_info,mi_rank,target_corr,corr_rank,avg_rank
Credit_Spreads_monthly_chg_lag1,7891454.3984375,71,0.02055549102573151,390,0.09856664379903962,431,297.3333333333333
Credit_Spreads_vol_of_changes_6m_change,80933.5,380,0.05597932146737694,178,0.11190723281875523,337,298.3333333333333
Empire_State_Mfg_mom_change,19704.400390625,503,0.03169566458366768,275,0.18132923122620562,118,298.6666666666667
emp_sa_private_services_nsa_rolling_3m,0.0,620,0.34783829700863134,26,0.13086901576125204,250,298.6666666666667
SP500_30d_return_2yr_change,2360590.0,97,0.0017308911336528787,693,0.1880015627263481,107,299.0
Credit_Spreads_acceleration_latest,472967.1953125,187,0.01715478071448162,434,0.12329137001026087,279,300.0
NOAA_Human_Impact_Index_rolling_mean_6,3128799.4716796875,88,0.03871686098520577,234,0.07878340044838805,580,300.6666666666667
Credit_Spreads_zscore_12m_min_18m_change,21810296.796875,29,0.021659289510575608,375,0.08816240734024323,500,301.3333333333333
ADP_forecast_6m_change,0.0,729,0.060455889936554374,165,0.4785321992589517,11,301.6666666666667
Oil_Prices_zscore_12m_mean_lag1,310182.0,227,0.009017819600076749,550,0.17383896510528368,129,302.0
emp_sa_government_nsa_latest,0.0,533,0.498751347053664,4,0.10715829597413383,373,303.3333333333333
emp_sa_government_nsa_mom,0.0,797,0.3452498581103871,27,0.20155414479063954,88,304.0
Oil_Prices_zscore_3m_mean_latest,844111.0,137,0.03365053483080516,263,0.08639624077356614,512,304.0
Empire_State_Mfg_6m_change,71053.0,397,0.019229755862661957,403,0.18541037773211208,112,304.0
emp_sa_private_services_information_nsa_rolling_3m,0.0,552,0.04022790564339429,228,0.169373003555742,135,305.0
VIX_p99_volatility_12m,478838.80078125,184,0.017077159747721726,435,0.1181316202838905,299,306.0
Oil_Prices_zscore_3m_min_2yr_change,26638182.0,21,0.023849431498270235,356,0.08273717828706727,541,306.0
Oil_Prices_zscore_12m_min_latest,138438.69921875,306,0.010617892478665958,529,0.20227979940941726,85,306.6666666666667
emp_sa_private_services_education_health_nsa_rolling_3m,0.0,658,0.39673893384791015,16,0.1312297298121157,249,307.6666666666667
Yield_Curve_zscore_3m_max_lag3,623902.8984375,164,0.021618618450083282,376,0.10525835711563215,385,308.3333333333333
Credit_Spreads_accel_volatility_6m_change,557986.0,171,0.017343165427682994,431,0.11425917658763816,326,309.3333333333333
SP500_bear_market_lag1,0.0,561,0.02703969673282547,318,0.23301787046833403,51,310.0
emp_sa_private_services_trade_transportation_utilities_nsa_volatility,0.0,636,0.2876717282415324,40,0.12913332257975807,254,310.0
Challenger_Job_Cuts_18m_change,952455.6201171875,131,0.010154347923145401,535,0.12468105586468776,271,312.3333333333333
emp_sa_private_services_financial_nsa_3m_chg,0.0,870,0.30848447680904645,34,0.27928742145142943,34,312.6666666666667
NOAA_Human_Impact_Index_18m_change,11166373.09765625,53,0.033453264799542914,264,0.07372023250809556,626,314.3333333333333
NOAA_Human_Impact_Index_lag12,23052.599609375,493,0.09778835903406868,124,0.11363917231038871,328,315.0
SP500_best_day_lag3,207886.0,262,0.015446464365001411,455,0.13562148087745818,229,315.3333333333333
Challenger_Job_Cuts_mom_change,29327485.3046875,19,0.0,862,0.21562350235346325,66,315.6666666666667
emp_sa_private_services_trade_transportation_utilities_wholesale_nsa_latest,125996.599609375,317,0.13208562490673925,106,0.08477665093099503,525,316.0
emp_sa_government_local_education_nsa_3m_chg,0.0,901,0.48786060096680384,6,0.2476187476989734,44,317.0
Oil_Prices_zscore_12m_mean_mom_change,1519950.6015625,113,0.02695858289218478,320,0.08561149000650321,519,317.3333333333333
emp_sa_government_local_excluding_education_nsa_latest,0.0,766,0.37729697056475286,20,0.1532669437481065,167,317.6666666666667
emp_sa_private_services_trade_transportation_utilities_retail_nsa_6m_chg,0.0,540,0.2887952619442262,39,0.10679583307033864,374,317.6666666666667
emp_sa_private_goods_mining_logging_logging_nsa_3m_chg,14073.5,515,0.13267590676288465,105,0.11252254238463595,333,317.6666666666667
JOLTS_Layoffs_2yr_change,52690.80078125,431,0.014434802748190645,474,0.23369871063373907,49,318.0
SP500_zscore_3m_max_lag1,179682.0,281,0.015033410090238952,461,0.14041145860199875,212,318.0
emp_sa_private_services_financial_real_estate_nsa_3m_chg,0.0,826,0.2942668855708175,38,0.19942198152588753,91,318.3333333333333
VIX_volatility_6m_change,1793242.0,107,0.05141101724828001,189,0.07019807269997896,662,319.3333333333333
emp_sa_private_services_information_publishing_nsa_rolling_3m,148236.86279296875,299,0.05999001441755247,166,0.09030187293248769,494,319.6666666666667
Credit_Spreads_zscore_12m_max_mom_change,393770.8046875,200,0.012556985920936903,506,0.12881743302919033,256,320.6666666666667
ADP_actual_18m_change,58810.19921875,421,0.028801178323786925,303,0.13433642786934102,238,320.6666666666667
VIX_p99_latest,356359.1015625,212,0.019419426324356337,401,0.11042816178770429,349,320.6666666666667
emp_sa_private_services_leisure_hospitality_arts_nsa_mom_pct,706371.1015625,148,0.15762476053234664,92,0.06443247605901287,725,321.6666666666667
emp_sa_private_services_financial_finance_insurance_nsa_rolling_3m,0.0,687,0.09057430035315228,130,0.1600794045135497,148,321.6666666666667
Oil_Prices_zscore_3m_min_latest,55596.201171875,425,0.03988546960124317,230,0.11702944374271775,311,322.0
Oil_Prices_30d_crash_rolling_mean_6,338706.7099609375,216,0.04422974170297511,206,0.08222254004338454,545,322.3333333333333
SP500_crash_month_rolling_mean_3,0.0,666,0.03199184419943535,273,0.288688045115884,30,323.0
AWH_All_Private_mom_change,20293109.5,31,0.023648906180451235,360,0.07874458059838846,581,324.0
CCSA_max_spike_2yr_change,0.0,676,0.07233742311048408,150,0.1612227565775756,146,324.0
Oil_Prices_zscore_3m_mean_18m_change,164797.8984375,288,0.04477224042905892,202,0.09112470451763609,485,325.0
emp_sa_government_local_nsa_6m_chg,321055.0,222,0.45839247582831266,9,0.062329963362403665,748,326.3333333333333
VIX_max_6m_change,742207.0,146,0.015778638821242197,450,0.10530116950033669,384,326.6666666666667
SP500_monthly_return_rolling_mean_3,18900340.0,35,0.014286404453879076,480,0.09354414658081814,466,327.0
JOLTS_Layoffs_volatility_6m,38788.80078125,456,0.042175179896159154,215,0.11715839749414149,310,327.0
SP500_bear_market_latest,0.0,599,0.026128390203991714,328,0.22350394574965035,57,328.0
SP500_worst_day_mom_change,0.0,588,0.023694834446906565,357,0.26716743356647893,39,328.0
emp_sa_private_goods_manufacturing_nondurable_nsa_6m_chg,124508.59765625,318,0.23374059790334112,62,0.0751027937241151,608,329.3333333333333
emp_sa_private_services_leisure_hospitality_arts_nsa_volatility,0.0,587,0.09444592365877691,128,0.12394337577847367,275,330.0
SP500_best_day_2yr_change,3508894.703125,86,0.0,809,0.19444216571303796,96,330.3333333333333
Yield_Curve_acceleration_lag12,289060.8408203125,232,0.06192370453096796,162,0.07599288079045201,602,332.0
SP500_volatility_lag3,33916308.5,16,0.0006446573885758866,712,0.12510730453085311,268,332.0
ADP_forecast_volatility_6m,0.0,559,0.048723751079463806,194,0.13311927926288827,244,332.3333333333333
emp_sa_private_services_financial_real_estate_nsa_latest,0.0,801,0.2831630234205069,41,0.1540336205438688,161,334.3333333333333
VIX_p99_2yr_change,12615795.302734375,43,0.02064393904317008,389,0.08013832585900622,572,334.6666666666667
Credit_Spreads_zscore_12m_min_lag18,464161.796875,189,0.02306127412589154,364,0.09528082594770912,454,335.6666666666667
nfp_sa_mom_rolling_3m,584361.0,168,0.0769520270149151,145,0.06689123337383465,697,336.6666666666667
emp_sa_government_nsa_mom_pct,960558.001953125,129,0.21580575035181093,69,0.05717901587172945,813,337.0
Financial_Stress_monthly_avg_6m_change,187782.6015625,273,0.02867189337956999,306,0.09798291052745246,434,337.6666666666667
CB_Consumer_Confidence_6m_change,7756320.0,72,0.003911321517704458,650,0.11956603762510427,291,337.6666666666667
emp_sa_private_services_professional_business_admin_waste_nsa_volatility,0.0,731,0.08371893681854159,138,0.1619055964459537,145,338.0
ISM_Manufacturing_Index_18m_change,18899.0,505,0.02519596215011699,337,0.15127042358799828,177,339.6666666666667
SP500_days_circuit_breaker_lag3,0.0,640,0.040807608278296215,223,0.15638231191119228,156,339.6666666666667
Yield_Curve_accel_volatility_volatility_6m,2675649.701171875,92,0.005537397614459483,615,0.11640390107841073,316,341.0
SP500_max_drawdown_18m_change,321433.0,221,0.011290929278517936,521,0.12230287781388491,282,341.3333333333333
