ds,actual,predicted,error,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95,in_50_interval,in_80_interval,in_95_interval,n_train_samples,n_features
2024-08-01,205.0,149.71459764122423,55.28540235877577,94.09869680665116,349.3331308935759,-36.198257316178655,442.6005708115873,-324.70406219200413,531.5235003969688,True,True,True,413,63
2024-09-01,527.0,561.2593972181561,-34.259397218156096,508.35650550456126,777.4802410624366,425.69066460953417,854.1453703885193,98.31266360814874,895.665444887376,True,True,True,414,65
2024-10-01,830.0,830.3212459781057,-0.32124597810570776,779.7751987583024,1075.5872768164134,689.7960837231278,1139.8636950787607,412.7648518945072,1164.7272936473255,True,True,True,415,65
2024-11-01,553.0,352.8845449341637,200.11545506583627,302.3384977143604,516.1489293536273,207.74085920127658,639.8620575478227,-97.33381582841315,669.6294454110885,False,True,True,416,65
2024-12-01,-102.0,-89.52454099331293,-12.475459006687075,-138.9013932918665,13.171389233835825,-227.83022730502296,189.85724808119,-500.6863259967338,209.81562005139062,True,True,True,417,65
2025-01-01,-3367.0,-2317.863409489815,-1049.1365905101852,-2342.4786761901846,-2223.2563463415704,-2439.3752929225047,-2038.481620415312,-2600.6421737390865,-2019.333696566082,False,False,False,418,65
2025-02-01,892.0,688.4724228336055,203.5275771663945,641.7253771529377,826.7954405973181,593.5543538520014,949.8575316389854,329.4872604167447,987.0021357573382,False,True,True,419,65
2025-03-01,523.0,565.8582417881433,-42.858241788143346,536.3798616853514,692.7170835213615,476.9753675977514,819.2603239778214,-501.2360501765994,875.1076099872944,False,True,True,420,61
2025-04-01,810.0,713.1442404376853,96.85575956231469,666.4934497427281,840.0030821709034,620.9578802441708,944.5718138675046,-401.2636400899123,1059.5651768340836,True,True,True,421,61
2025-05-01,648.0,567.4662442665848,80.5337557334152,509.5883272244489,692.7214803838242,466.1171125525528,789.6254750089258,-546.9416362610128,913.8871806629829,True,True,True,422,61
2025-06-01,511.0,278.89435399169423,232.10564600830577,214.7561261316739,411.6530525410909,177.54522227766222,442.3543763039713,-665.7458798659027,529.1838395121679,False,False,True,423,61
2025-07-01,-1248.0,-924.9587658973549,-323.04123410264515,-995.465540170162,-792.7821189988352,-1047.6335309261024,-769.6194662176749,-1831.3212732838597,-694.3432459861024,False,False,True,424,61
2025-08-01,183.0,125.0577616662942,57.9422383337058,38.66725560059453,252.3272718743898,-24.186524714530663,277.5896214910789,-761.2111867367753,360.17991972759097,True,True,True,425,61
2025-09-01,322.0,-8.124571521580922,330.12457152158095,-99.86534304595946,119.14493868651469,-313.94371115451565,201.25309654198352,-935.0605576803887,362.55696330363315,False,False,True,426,61
2025-10-01,679.0,680.4466210105235,-1.4466210105234723,589.9693126476766,824.6623202630049,244.3734661544192,1002.0921787113022,-406.29593138491134,1362.528437287095,True,True,True,427,61
2025-11-01,241.0,579.6506081866077,-338.65060818660766,486.96657710284126,704.9109653014848,143.57745333050337,901.2961658873863,-507.09194420882716,1261.732424463179,False,True,True,428,61
2025-12-01,,-137.8471112590823,,-241.4604044543136,-22.980077586991655,-430.90888336315425,111.03730195539634,-770.5576435308212,278.9121402203725,,,,429,61
